strike,days_to_expiration,implied_volatility
2400.0,10,1.6472419081460041
2600.0,10,1.5061776159393374
2800.0,10,1.3751346906737945
3000.0,10,1.31549256859332
3200.0,10,1.196033533842752
3400.0,10,1.0325038263306314
3600.0,10,0.9776088886619043
3800.0,10,0.8542717801791029
4000.0,10,0.7728932722365354
4200.0,10,0.6907796750429807
4400.0,10,0.6174863287440604
4500.0,10,0.5894893318874912
4600.0,10,0.5565411604073192
4700.0,10,0.5216256250611637
4800.0,10,0.4851318486209276
4900.0,10,0.44724357080717614
5000.0,10,0.4106819073887985
5025.0,10,0.4040376789466581
5050.0,10,0.39509269332010727
5075.0,10,0.3859019876338928
5100.0,10,0.3767565543252975
5125.0,10,0.36707704352124015
5150.0,10,0.35931314738392756
5175.0,10,0.34964060856201284
5200.0,10,0.3412406175338256
5225.0,10,0.3325237488561511
5250.0,10,0.32339592775780146
5275.0,10,0.3165620486501372
5300.0,10,0.30719070848293745
5325.0,10,0.2992733457546789
5350.0,10,0.2911285796702233
5375.0,10,0.2822951293180869
5400.0,10,0.274670493474384
5425.0,10,0.2666992857903514
5440.0,10,0.26221944850064666
5450.0,10,0.2590487883419882
5460.0,10,0.25578502965671657
5470.0,10,0.25282455625456746
5475.0,10,0.2512409307478154
5480.0,10,0.24965875157414708
5490.0,10,0.24649872110229443
5500.0,10,0.24334443951821405
5510.0,10,0.2405809470359337
5520.0,10,0.23777018612790013
5525.0,10,0.23632590107056697
5530.0,10,0.23449854807910026
5540.0,10,0.23238481671158961
5550.0,10,0.22912832576039838
5560.0,10,0.22600383034372384
5570.0,10,0.22448581648797833
5575.0,10,0.22308774720908364
5580.0,10,0.22157304558877478
5585.0,10,0.21994998267937285
5590.0,10,0.2193215175538755
5595.0,10,0.2176172358775534
5600.0,10,0.21645242898484174
5605.0,10,0.21528722116280274
5610.0,10,0.21439197452532383
5615.0,10,0.2133377942917506
5620.0,10,0.2118265710605169
5625.0,10,0.2107744588888411
5630.0,10,0.2097232932247819
5635.0,10,0.2086122987363521
5640.0,10,0.2077048989889146
5645.0,10,0.20666708544845586
5650.0,10,0.20563019044996056
5655.0,10,0.20459422917815798
5660.0,10,0.20346401872018055
5665.0,10,0.20239098221371898
5670.0,10,0.20131192607046838
5675.0,10,0.2005748523159641
5680.0,10,0.1994975376209443
5685.0,10,0.1986554729677607
5690.0,10,0.1974818807855745
5695.0,10,0.19660815451059982
5700.0,10,0.19573520380920523
5705.0,10,0.19480293077462388
5710.0,10,0.19381274967191375
5715.0,10,0.1927828172609436
5720.0,10,0.1917537846386843
5725.0,10,0.19099020995114951
5730.0,10,0.18999766927306147
5735.0,10,0.18902358101598338
5740.0,10,0.1878136532230351
5745.0,10,0.1870779249296496
5750.0,10,0.18608541831477643
5755.0,10,0.18489737726270272
5760.0,10,0.1841382969592967
5765.0,10,0.18295211569754222
5770.0,10,0.18223256731356863
5775.0,10,0.1810121961127602
5780.0,10,0.1799880983344204
5785.0,10,0.17916000800043352
5790.0,10,0.17839041347315587
5795.0,10,0.17710236772278343
5800.0,10,0.17617547910531478
5805.0,10,0.17542928512166955
5810.0,10,0.17428538778212954
5815.0,10,0.17322943030907045
5820.0,10,0.172509605979041
5825.0,10,0.1716035701332752
5830.0,10,0.1705581034366044
5835.0,10,0.16951353566643473
5840.0,10,0.1687851000957094
5845.0,10,0.16778914520450247
5850.0,10,0.16686676440771955
5855.0,10,0.16609489529618615
5860.0,10,0.16501975619602047
